job_id,job_title,job_description_clean,skills,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
30,production support engineer,provides support for production systems to ensure uptime responsibilities include monitoring applications troubleshooting issues and performing root cause analysis,"['troubleshooting', 'monitoring', 'automation', 'networking', 'windows server', 'database', 'itil', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
31,puppet operations engineer,utilizes puppet for configuration management tasks responsible for writing manifests scripts to automate system configurations across environments,"['aws', 'automation', 'puppet', 'infrastructure as code', 'cloud computing', 'linux', 'azure', 'ruby', 'configuration management']",,,,,,,,,,,,,,,,,
32,senior build and release engineer,leads build release engineering efforts within an organization manages complex build environments while ensuring timely delivery of software releases,"['docker', 'build tools', 'maven', 'automation', 'kubernetes', 'jenkins', 'mentoring', 'git', 'leadership', 'gradle', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
33,senior build engineer,oversees build processes for software projects at a senior level responsible for optimizing build times and maintaining build infrastructure,"['ant', 'build automation', 'version control', 'maven', 'jenkins', 'mentoring', 'git', 'leadership', 'gradle', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
34,senior devops engineer,drives devops initiatives at a senior level responsibilities include mentoring team members and implementing automation strategies,"['aws', 'ansible', 'docker', 'automation', 'kubernetes', 'jenkins', 'networking', 'python', 'git', 'cloud computing', 'leadership', 'linux', 'azure', 'terraform']",,,,,,,,,,,,,,,,,
35,site reliability engineer (kubernetes â docker),focuses on maintaining high availability of containerized applications using kubernetes docker while implementing sre best practices,"['docker', 'troubleshooting', 'monitoring', 'automation', 'kubernetes', 'networking', 'sre', 'cloud computing', 'linux']",,,,,,,,,,,,,,,,,
36,splunk engineer,implements splunk solutions for log analysis security monitoring and operational intelligence responsible for creating dashboards alerts and managing data ingestion,"['aws', 'dashboards', 'log management', 'security', 'data analysis', 'linux', 'azure', 'splunk', 'alerting', 'scripting']",,,,,,,,,,,,,,,,,
37,.net developer,develops applications using net framework technologies including c responsibilities include application design development testing,"['.net', 'web api', 'mvc', 'entity framework', 'git', 'cloud computing', 'database', 'linq', 'asp.net']",,,,,,,,,,,,,,,,,
38,accessibility specialist,ensures digital content meets accessibility standards e g wcag conducts audits reviews to improve accessibility compliance,"['aria', 'css', 'javascript', 'ada compliance', 'html', 'wcag', 'accessibility testing', 'assistive technologies']",,,,,,,,,,,,,,,,,
39,agile project manager,manages agile projects by facilitating scrum ceremonies e g sprint planning ensures team adherence to agile principles methodologies,"['scrum', 'confluence', 'agile methodologies', 'stakeholder management', 'jira', 'project management', 'communication', 'kanban']",,,,,,,,,,,,,,,,,
40,android developer,develops mobile applications using android sdk java kotlin technologies while focusing on ui ux design principles,"['mobile development', 'android sdk', 'kotlin', 'java', 'android studio', 'rest apis', 'firebase', 'database', 'ux design']",,,,,,,,,,,,,,,,,
41,ansible automation engineer,automates it tasks using ansible playbooks scripts while managing configurations across environments,"['ansible', 'aws', 'automation', 'python', 'networking', 'infrastructure as code', 'cloud computing', 'linux', 'azure', 'scripting']",,,,,,,,,,,,,,,,,
42,appdynamics engineer,monitors application performance using appdynamics tools while providing insights into application health performance metrics,"['.net', 'troubleshooting', 'metrics', 'java', 'cloud computing', 'application performance monitoring', 'alerting', 'appdynamics']",,,,,,,,,,,,,,,,,
43,application security engineer,focuses on securing applications through vulnerability assessments pentesting while implementing security best practices,"['dast', 'secure coding', 'application security', 'owasp', 'vulnerability management', 'sast', 'penetration testing', 'cloud security']",,,,,,,,,,,,,,,,,
44,artifactory engineer,manages artifactory repositories while integrating them into ci cd pipelines to ensure efficient artifact management,"['build automation', 'docker', 'version control', 'maven', 'jenkins', 'git', 'cloud computing', 'gradle', 'linux', 'artifactory']",,,,,,,,,,,,,,,,,
45,aws devops engineer,implements devops practices on aws platform while utilizing services like ec2 s3 lambda to automate deployments,"['aws', 'devops', 'ansible', 'docker', 'automation', 'kubernetes', 'linux', 'terraform', 'cloudformation', 'scripting']",,,,,,,,,,,,,,,,,
46,aws solutions architect,designs scalable cloud architectures on aws platform while providing guidance on best practices security compliance,"['aws', 'devops', 'security', 'cloud architecture', 'networking', 'ec2', 'terraform', 'aws lambda', 'cloudformation', 'cloud security']",,,,,,,,,,,,,,,,,
47,azure devops engineer,implements devops solutions on azure platform while utilizing azure devops services tools to automate deployments,"['ansible', 'devops', 'docker', 'automation', 'kubernetes', 'linux', 'arm templates', 'terraform', 'azure', 'scripting']",,,,,,,,,,,,,,,,,
48,bamboo engineer,manages ci cd processes using bamboo responsibilities include configuring build plans integrating with version control systems and ensuring smooth deployment pipelines,"['build automation', 'version control', 'automation', 'atlassian suite', 'bamboo', 'git', 'scripting']",,,,,,,,,,,,,,,,,
49,bitbucket engineer,administers bitbucket repositories for version control responsible for managing user permissions branch strategies and pull requests,"['version control', 'bitbucket', 'code review', 'git', 'branching strategies', 'atlassian suite']",,,,,,,,,,,,,,,,,
50,blockchain developer,develops blockchain based applications and smart contracts requires knowledge of blockchain frameworks such as ethereum and programming languages like solidity,"['node.js', 'solidity', 'javascript', 'distributed ledger', 'consensus algorithms', 'web3', 'smart contracts', 'blockchain', 'cryptocurrency', 'ethereum']",,,,,,,,,,,,,,,,,
51,business systems analyst,analyzes business needs and translates them into technical requirements works closely with stakeholders to improve processes and implement technology solutions,"['process improvement', 'stakeholder management', 'data analysis', 'bpmn', 'database', 'business analysis', 'uml', 'requirements gathering']",,,,,,,,,,,,,,,,,
52,c# developer,develops applications using c and net technologies responsibilities include designing coding testing and debugging software applications,"['.net', 'web api', 'mvc', 'entity framework', 'git', 'cloud computing', 'database', 'linq', 'asp.net']",,,,,,,,,,,,,,,,,
53,chef inspec engineer,utilizes chef inspec for compliance automation responsible for writing tests to ensure systems meet security and compliance standards,"['automation', 'security', 'chef inspec', 'linux', 'cloud computing', 'compliance as code', 'configuration management']",,,,,,,,,,,,,,,,,
54,cloud administrator,no description available,"['aws', 'google cloud', 'automation', 'security', 'networking', 'cloud computing', 'virtualization', 'linux', 'azure', 'scripting']",,,,,,,,,,,,,,,,,
55,cloud architect,designs cloud architecture solutions to meet business requirements responsible for selecting appropriate cloud services and ensuring scalability security,"['aws', 'microservices', 'google cloud', 'docker', 'automation', 'kubernetes', 'cloud architecture', 'networking', 'terraform', 'azure', 'cloud security']",,,,,,,,,,,,,,,,,
56,cloud automation engineer,automates cloud infrastructure management using tools like terraform or ansible focuses on deploying resources efficiently across cloud environments,"['ansible', 'aws', 'google cloud', 'automation', 'python', 'cloud computing', 'terraform', 'azure', 'scripting']",,,,,,,,,,,,,,,,,
57,cloud engineer,builds and maintains cloud infrastructure responsibilities include configuring cloud services optimizing performance and ensuring security compliance,"['aws', 'google cloud', 'automation', 'security', 'networking', 'cloud computing', 'virtualization', 'linux', 'azure', 'scripting']",,,,,,,,,,,,,,,,,
58,cloud network engineer,designs and manages networking solutions within cloud environments focuses on vpcs subnets routing configurations and security groups,"['aws', 'routing', 'google cloud', 'subnets', 'cloud networking', 'security groups', 'firewalls', 'azure', 'vpc']",,,,,,,,,,,,,,,,,
59,cloud security engineer,implements security measures for cloud environments responsibilities include identity management data protection and compliance auditing,"['aws', 'gcp', 'compliance', 'vulnerability management', 'encryption', 'azure', 'iam', 'cloud security']",,,,,,,,,,,,,,,,,
60,cnc programmer,creates cnc programs for machining operations responsible for interpreting blueprints and optimizing tool paths for efficiency,"['toolpath optimization', 'cad', 'cam', 'machining', 'blueprints', 'g-code', 'manufacturing processes', 'cnc programming']",,,,,,,,,,,,,,,,,
61,coder,writes code in various programming languages to develop software applications responsibilities include debugging and maintaining code quality,"['data structures', 'problem solving', 'debugging', 'programming', 'algorithms', 'software development']",,,,,,,,,,,,,,,,,
62,computer graphics animator,creates animations using computer graphics software responsibilities include modeling rigging and rendering 3d assets,"['3d animation', 'maya', 'adobe creative suite', 'storyboarding', '2d animation', 'motion graphics', 'visual effects', 'blender']",,,,,,,,,,,,,,,,,
63,computer hardware engineer,designs and tests hardware components for computers responsibilities include circuit design prototyping and troubleshooting hardware issues,"['microprocessors', 'validation', 'circuit design', 'embedded systems', 'hardware design', 'testing', 'pcb design']",,,,,,,,,,,,,,,,,
64,computer network architect,designs network infrastructures to support organizational needs responsible for selecting hardware software solutions to optimize network performance,"['routing', 'tcp', 'lan', 'switching', 'network design', 'security', 'vpn', 'cloud networking', 'firewalls', 'wan']",,,,,,,,,,,,,,,,,
65,computer programmer,writes code to create software applications based on specifications responsibilities include debugging code and collaborating with other developers,"['python', 'c++', 'data structures', 'java', 'debugging', 'programming', 'algorithms', 'software development']",,,,,,,,,,,,,,,,,
66,computer research scientist,conducts research in computing fields to develop new technologies or methodologies publishes findings in academic journals and presents at conferences,"['scientific writing', 'data analysis', 'research methods', 'machine learning', 'programming', 'algorithms', 'publications']",,,,,,,,,,,,,,,,,
67,computer systems analyst,analyzes computer systems to identify improvements in efficiency or functionality works closely with stakeholders to gather requirements and implement solutions,"['process improvement', 'system analysis', 'stakeholder management', 'data analysis', 'database', 'uml', 'requirements gathering']",,,,,,,,,,,,,,,,,
68,confluence engineer,manages confluence as a collaboration tool within teams responsibilities include configuring spaces managing permissions and supporting documentation efforts,"['documentation', 'confluence', 'workflow configuration', 'collaboration', 'user management', 'atlassian suite']",,,,,,,,,,,,,,,,,
69,consul engineer,implements service discovery solutions using hashicorp consul responsible for configuring service mesh capabilities and ensuring application connectivity,"['consul', 'service discovery', 'automation', 'networking', 'cloud computing', 'configuration management']",,,,,,,,,,,,,,,,,
70,coverage.py engineer,utilizes coverage py for measuring code coverage in python applications responsible for implementing testing strategies to improve code quality,"['python', 'code coverage', 'quality assurance', 'coverage.py', 'testing']",,,,,,,,,,,,,,,,,
71,data analyst,analyzes data sets to extract insights that inform business decisions proficient in sql excel and data visualization tools like tableau or power bi,"['data cleansing', 'tableau', 'etl', 'power bi', 'excel', 'python', 'database', 'data modeling', 'statistics', 'data visualization', 'data mining']",,,,,,,,,,,,,,,,,
72,data engineer,builds data pipelines to support analytics initiatives requires expertise in etl processes sql databases and big data technologies,"['data pipelines', 'etl', 'spark', 'python', 'data warehousing', 'cloud computing', 'database', 'data modeling', 'hadoop']",,,,,,,,,,,,,,,,,
73,data modeler,creates data models that define how data is stored within databases works closely with architects to ensure alignment with business requirements,"['data governance', 'data warehousing', 'er diagrams', 'database', 'data modeling']",,,,,,,,,,,,,,,,,
74,data scientist,utilizes statistical analysis and machine learning techniques to derive insights from complex datasets proficient in programming languages like python or r,"['data wrangling', 'spark', 'data science', 'python', 'machine learning', 'cloud computing', 'database', 'data visualization', 'statistics', 'hadoop']",,,,,,,,,,,,,,,,,
75,database administrator,responsible for managing database systems including installation configuration monitoring performance backup recovery procedures,"['performance tuning', 'oracle', 'backup and recovery', 'database']",,,,,,,,,,,,,,,,,
76,datadog engineer,implements monitoring solutions using datadog to track application performance metrics responsible for configuring alerts dashboards,"['dashboards', 'troubleshooting', 'monitoring', 'metrics', 'datadog', 'cloud computing', 'linux', 'alerting']",,,,,,,,,,,,,,,,,
77,developer,writes software applications based on specifications provided by stakeholders collaborates with other developers on coding best practices,"['python', 'c++', 'data structures', 'java', 'debugging', 'programming', 'algorithms', 'software development']",,,,,,,,,,,,,,,,,
78,devops manager,oversees devops teams responsible for automating software delivery processes while ensuring alignment with organizational goals,"['devops', 'budgeting', 'automation', 'project management', 'cloud computing', 'leadership', 'team management', 'communication']",,,,,,,,,,,,,,,,,
79,devsecops architect,integrates security practices into the devops process by designing secure ci cd pipelines that meet compliance standards,"['ansible', 'docker', 'devsecops', 'kubernetes', 'vulnerability management', 'security automation', 'terraform', 'cloud security']",,,,,,,,,,,,,,,,,
80,devsecops engineer,implements security measures within the devops lifecycle by utilizing tools that automate security checks throughout development,"['aws', 'vulnerability scanning', 'docker', 'devsecops', 'kubernetes', 'continuous security', 'terraform', 'penetration testing', 'cloud security']",,,,,,,,,,,,,,,,,
81,director of engineering,leads engineering teams while overseeing project management efforts across multiple initiatives within the organization,"['budgeting', 'agile methodologies', 'project management', 'leadership', 'team management', 'communication', 'software development']",,,,,,,,,,,,,,,,,
82,docker engineer,manages containerization solutions using docker while ensuring efficient deployment of applications across environments,"['docker', 'containerization', 'automation', 'kubernetes', 'networking', 'cloud computing', 'linux']",,,,,,,,,,,,,,,,,
83,embedded software engineer,develops software for embedded systems by writing low level code that interfaces directly with hardware components,"['embedded c', 'firmware development', 'microcontrollers', 'rtos', 'communication protocols', 'hardware design', 'testing']",,,,,,,,,,,,,,,,,
84,entry level developer,assists in developing software applications under supervision while gaining experience in coding debugging practices,"['css', 'javascript', 'python', 'data structures', 'java', 'html', 'git', 'database', 'algorithms']",,,,,,,,,,,,,,,,,
85,entry level network engineer,supports network infrastructure by assisting with configuration troubleshooting tasks while gaining hands on experience,"['routing', 'troubleshooting', 'tcp', 'switching', 'networking', 'windows server', 'linux']",,,,,,,,,,,,,,,,,
86,entry level programmer,writes basic code under supervision while learning programming concepts techniques through practical application,"['python', 'c++', 'data structures', 'java', 'debugging', 'programming', 'algorithms']",,,,,,,,,,,,,,,,,
87,entry level software developer,assists in developing software applications while gaining experience in coding debugging practices under supervision,"['css', 'javascript', 'python', 'data structures', 'java', 'html', 'git', 'database', 'algorithms']",,,,,,,,,,,,,,,,,
88,entry level software engineer,participates in software development projects while gaining practical experience in coding debugging under guidance,"['css', 'javascript', 'python', 'data structures', 'java', 'html', 'git', 'database', 'algorithms']",,,,,,,,,,,,,,,,,
89,entry level web developer,assists in developing web applications while learning front end back end technologies through practical experience,"['css', 'web development fundamentals', 'javascript', 'ux basics', 'html', 'git']",,,,,,,,,,,,,,,,,
90,envoy engineer,implements envoy proxy solutions within microservices architectures while focusing on traffic management security policies,"['docker', 'envoy', 'kubernetes', 'service mesh', 'security', 'networking', 'cloud computing', 'traffic management']",,,,,,,,,,,,,,,,,
91,falco engineer,utilizes falco for runtime security monitoring of containerized applications while implementing threat detection mechanisms,"['docker', 'threat detection', 'falco', 'kubernetes', 'security', 'cloud computing', 'system monitoring']",,,,,,,,,,,,,,,,,
92,fluentd engineer,configures fluentd as a log collector aggregator while managing log ingestion pipelines into storage analytics platforms,"['elasticsearch', 'data collection', 'kibana', 'fluentd', 'log management', 'data processing', 'cloud computing']",,,,,,,,,,,,,,,,,
93,fortify engineer,conducts static dynamic application security testing using fortify tools while identifying remediating vulnerabilities within applications,"['.net', 'fortify', 'security', 'vulnerability management', 'static code analysis', 'java', 'software development']",,,,,,,,,,,,,,,,,
94,frameworks specialist,specializes in specific frameworks e g react angular by developing applications based on best practices within those frameworks,"['vue.js', 'django', 'javascript', 'react', 'framework development', 'python', 'java', 'spring framework', 'angular']",,,,,,,,,,,,,,,,,
95,front end developer,designs and develops user facing features for web applications using html css and javascript collaborates with ux ui designers to implement responsive designs,"['css', 'sass', 'vue.js', 'node.js', 'typescript', 'ux design', 'javascript', 'react', 'html', 'angular']",,,,,,,,,,,,,,,,,
96,front end web developer,creates and maintains the visual components of web applications responsible for optimizing applications for maximum speed and scalability,"['css', 'sass', 'vue.js', 'node.js', 'typescript', 'ux design', 'javascript', 'react', 'html', 'angular']",,,,,,,,,,,,,,,,,
97,full stack developer,develops both front end and back end components of web applications requires proficiency in multiple programming languages and frameworks,"['css', 'devops', 'node.js', 'django', 'javascript', 'react', 'python', 'html', 'express.js', 'mongodb', 'database', 'angular']",,,,,,,,,,,,,,,,,
98,full stack java developer/programmer/engineer,designs and develops full stack applications using java technologies responsible for both server side logic and user interface design,"['css', 'microservices', 'junit', 'maven', 'javascript', 'hibernate', 'jenkins', 'react', 'java', 'html', 'spring framework', 'rest apis', 'git', 'cloud computing', 'database', 'j2ee']",,,,,,,,,,,,,,,,,
99,full stack python developer/programmer/engineer,creates full stack applications using python frameworks e g django responsible for developing both client side and server side components,"['css', 'docker', 'django', 'javascript', 'python', 'react', 'data structures', 'html', 'rest apis', 'cloud computing', 'git', 'database', 'flask', 'linux', 'algorithms']",,,,,,,,,,,,,,,,,
100,game developer,designs and develops video games across platforms responsible for coding gameplay mechanics graphics and user interactions,"['javascript', 'unity', 'game engines', 'c++', 'vr development', 'unreal engine', 'game design']",,,,,,,,,,,,,,,,,
101,gcp devops engineer,implements devops practices on google cloud platform responsible for automating deployments managing ci cd pipelines and ensuring system reliability,"['ansible', 'devops', 'docker', 'google cloud', 'automation', 'kubernetes', 'linux', 'terraform', 'scripting']",,,,,,,,,,,,,,,,,
102,gerrit engineer,manages gerrit code review system to facilitate collaborative development responsibilities include configuring projects and managing user access,"['version control', 'automation', 'code review', 'git', 'gerrit', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
103,git engineer,specializes in git version control systems responsible for managing repositories branching strategies and ensuring code integrity during development,"['version control', 'automation', 'code review', 'git', 'branching strategies', 'scripting']",,,,,,,,,,,,,,,,,
104,github engineer,manages github repositories for version control responsibilities include setting up workflows managing pull requests and collaborating with teams,"['version control', 'automation', 'github', 'github actions', 'git', 'scripting']",,,,,,,,,,,,,,,,,
105,gitlab engineer,administers gitlab repositories for version control responsible for configuring ci cd pipelines and managing project settings,"['version control', 'automation', 'gitlab', 'gitlab ci', 'git', 'scripting']",,,,,,,,,,,,,,,,,
106,gradle engineer,utilizes gradle build automation tools to manage project dependencies and build processes responsible for optimizing build configurations,"['version control', 'build automation', 'groovy', 'java', 'git', 'gradle']",,,,,,,,,,,,,,,,,
107,grafana engineer,implements grafana dashboards for data visualization responsible for monitoring metrics from various sources to provide insights into system performance,"['dashboards', 'monitoring', 'metrics', 'linux', 'cloud computing', 'data visualization', 'alerting', 'grafana']",,,,,,,,,,,,,,,,,
108,groovy engineer,develops scripts using groovy programming language to automate tasks within java applications or build processes,"['build automation', 'automation', 'jenkins', 'groovy', 'java', 'scripting']",,,,,,,,,,,,,,,,,
109,information architect,designs information systems that provide clear navigation structures for users works on organizing content effectively across digital platforms,"['user research', 'content strategy', 'prototyping', 'information architecture', 'ux design', 'wireframing']",,,,,,,,,,,,,,,,,
110,information security analyst,protects an organization s computer systems by implementing security measures responsibilities include monitoring networks for security breaches,"['security auditing', 'security', 'vulnerability management', 'firewalls', 'ips', 'ids', 'network security', 'penetration testing']",,,,,,,,,,,,,,,,,
111,interaction designer,focuses on creating engaging interfaces that enhance user experience responsibilities include conducting user research and usability testing,"['user research', 'usability testing', 'interaction design', 'prototyping', 'ux design', 'wireframing']",,,,,,,,,,,,,,,,,
112,ios developer,develops mobile applications for ios devices using swift or objective c responsible for implementing ui designs and ensuring app performance,"['ios sdk', 'mobile development', 'swift', 'rest apis', 'database', 'objective-c', 'xcode', 'ux design']",,,,,,,,,,,,,,,,,
113,istio engineer,implements service mesh solutions using istio to manage microservices communication focuses on traffic management security policies and observability,"['istio', 'docker', 'kubernetes', 'service mesh', 'security', 'networking', 'cloud computing', 'traffic management']",,,,,,,,,,,,,,,,,
114,it manager,oversees it operations within an organization responsibilities include managing it staff budgeting and ensuring alignment with business goals,"['budgeting', 'cybersecurity', 'team leadership', 'agile methodologies', 'networking', 'project management', 'it infrastructure', 'cloud computing']",,,,,,,,,,,,,,,,,
115,jacoco engineer,utilizes jacoco to measure code coverage in java applications responsible for integrating coverage reporting into ci cd pipelines,"['jacoco', 'code coverage', 'java', 'quality assurance', 'testing']",,,,,,,,,,,,,,,,,
116,java developer,develops software applications using java programming language responsibilities include writing code debugging and collaborating with team members on projects,"['microservices', 'junit', 'maven', 'hibernate', 'jenkins', 'java', 'spring framework', 'rest apis', 'git', 'cloud computing', 'database', 'j2ee']",,,,,,,,,,,,,,,,,
117,javascript developer,creates interactive web applications using javascript frameworks libraries like react or angular focuses on front end development best practices,"['css', 'sass', 'vue.js', 'node.js', 'typescript', 'ux design', 'javascript', 'react', 'html', 'angular']",,,,,,,,,,,,,,,,,
118,jira engineer,administers jira project management tool to support agile teams responsibilities include configuring workflows managing projects and providing user support,"['agile methodologies', 'jira', 'project management', 'workflow configuration', 'user management', 'atlassian suite']",,,,,,,,,,,,,,,,,
